journal,year,command,num_datasets
ajps,2015,estsimp,16
ajps,2015,gllamm,4
ajps,2015,gologit2,2
ajps,2015,heckman,2
ajps,2015,impute,3
ajps,2015,ivprobit,2
ajps,2015,ivreg,2
ajps,2015,ivreg2,7
ajps,2015,ivregress,6
ajps,2015,logit,30
ajps,2015,mlogit,13
ajps,2015,mprobit,2
ajps,2015,nbreg,11
ajps,2015,nestreg:logit,1
ajps,2015,nestreg:mlogit,1
ajps,2015,nestreg:ologit,1
ajps,2015,nestreg:oprobit,1
ajps,2015,nestreg:regress,1
ajps,2015,ologit,11
ajps,2015,omodel,1
ajps,2015,oprobit,5
ajps,2015,outreg,2
ajps,2015,poisson,2
ajps,2015,probit,15
ajps,2015,psmatch2,1
ajps,2015,qreg,2
ajps,2015,rc_spline,1
ajps,2015,reg3,1
ajps,2015,regress,79
ajps,2015,relogit,3
ajps,2015,sartsel,1
ajps,2015,stcox,2
ajps,2015,streg,3
ajps,2015,sureg,4
ajps,2015,svy:logit,1
ajps,2015,svy:mlogit,1
ajps,2015,svy:ologit,1
ajps,2015,svy:oprobit,1
ajps,2015,svy:regress,5
ajps,2015,tlogit,1
ajps,2015,tobit,5
ajps,2015,two_side,1
ajps,2015,var,3
ajps,2015,vargranger,3
ajps,2015,xtabond,1
ajps,2015,xtabond2,2
ajps,2015,xtgee,2
ajps,2015,xtgls,1
ajps,2015,xtivreg,1
ajps,2015,xtivreg2,2
ajps,2015,xtlogit,5
ajps,2015,xtmelogit,2
ajps,2015,xtmixed,6
ajps,2015,xtnbreg,2
ajps,2015,xtpcse,3
ajps,2015,xtprobit,1
ajps,2015,xtreg,22
ajps,2015,xtregar,1
ajps,2015,xttobit,1
ajps,2015,zinb,2
ajps,2016,DCdensity,1
ajps,2016,bootstrap:indireff,1
ajps,2016,bootstrap:indireffhat,1
ajps,2016,bootstrap:mixed,1
ajps,2016,dprobit,1
ajps,2016,estsimp,3
ajps,2016,ivreg2,4
ajps,2016,logistic,1
ajps,2016,logit,10
ajps,2016,mixed,1
ajps,2016,mlogit,1
ajps,2016,nbreg,2
ajps,2016,nl,1
ajps,2016,ologit,3
ajps,2016,probit,4
ajps,2016,rd,1
ajps,2016,regress,16
ajps,2016,relogit,1
ajps,2016,relogitll,1
ajps,2016,sem,1
ajps,2016,sureg,1
ajps,2016,tobit,1
ajps,2016,varsoc,1
ajps,2016,xtlogit,2
ajps,2016,xtmelogit,1
ajps,2016,xtmixed,1
ajps,2016,xtpoisson,1
ajps,2016,xtreg,2
ajps,2016,zinb,1
ajps,2017,DCdensity,1
ajps,2017,areg,1
ajps,2017,clogit,1
ajps,2017,estsimp,1
ajps,2017,glm,2
ajps,2017,impute,1
ajps,2017,logit,5
ajps,2017,meologit,1
ajps,2017,ml,1
ajps,2017,mleval,1
ajps,2017,mlogit,1
ajps,2017,mlsum,1
ajps,2017,nbreg,1
ajps,2017,ologit,2
ajps,2017,oprobit,1
ajps,2017,probit,3
ajps,2017,reghdfe,2
ajps,2017,regress,10
ajps,2017,sureg,1
ajps,2017,svy:probit,1
ajps,2017,svy:regress,1
ajps,2017,xtmixed,1
ajps,2017,xtreg,2
ajps,2018,DCdensity,1
ajps,2018,areg,1
ajps,2018,impute,2
ajps,2018,interflex,1
ajps,2018,ivreg2,2
ajps,2018,ivregress,1
ajps,2018,logit,8
ajps,2018,melogit,2
ajps,2018,meologit,1
ajps,2018,mixed,3
ajps,2018,mlogit,2
ajps,2018,ologit,1
ajps,2018,oprobit,1
ajps,2018,probit,2
ajps,2018,pscore,1
ajps,2018,psmatch2,1
ajps,2018,rd,1
ajps,2018,rdrobust,1
ajps,2018,regress,16
ajps,2018,rollreg,1
ajps,2018,sem,1
ajps,2018,stcox,1
ajps,2018,svy:logit,1
ajps,2018,svy:ologit,1
ajps,2018,svy:regress,1
ajps,2018,xtivreg,1
ajps,2018,xtlogit,3
ajps,2018,xtmelogit,1
ajps,2018,xtmixed,1
ajps,2018,xtologit,1
ajps,2018,xtreg,8
ajps,2018,xttobit,1
ajps,2019,impute,1
ajps,2019,ivreg2,1
ajps,2019,ivregress,1
ajps,2019,logit,2
ajps,2019,melogit,1
ajps,2019,mixed,1
ajps,2019,oprobit,2
ajps,2019,probit,1
ajps,2019,regress,9
ajps,2019,svy:logit,1
ajps,2019,svy:regress,1
ajps,2019,tobit,1
ajps,2019,xtabond2,1
ajps,2019,xtivreg2,1
ajps,2019,xtmixed,1
ajps,2019,xtreg,6
ajps,2019,xtregar,1
economics,2013,cnsreg,1
economics,2013,regress,1
economics,2014,regress,2
economics,2015,heckman,1
economics,2015,qreg,1
economics,2015,regress,4
economics,2015,rreg,1
economics,2015,xtmixed,1
economics,2015,xtreg,1
economics,2016,bootstrap:regress,1
economics,2016,gologit2,1
economics,2016,oprobit,1
economics,2016,probit,1
economics,2016,regress,3
economics,2016,xtabond2,2
economics,2016,xtpcse,1
economics,2016,xtreg,1
economics,2017,ivprobit,1
economics,2017,ivreg2,1
economics,2017,ivtobit,1
economics,2017,ologit,1
economics,2017,outreg,1
economics,2017,probit,1
economics,2017,regress,4
economics,2017,tobit,1
economics,2017,xtpcse,1
economics,2017,xtreg,2
economics,2018,areg,1
economics,2018,ivreg2,1
economics,2018,ivregress,2
economics,2018,probit,1
economics,2018,psmatch2,1
economics,2018,regress,2
economics,2018,tobit,2
economics,2019,ivregress,1
economics,2019,probit,1
economics,2019,psmatch2,1
economics,2019,xtreg,1
internationalinteractions,2010,btscs,2
internationalinteractions,2010,estsimp,2
internationalinteractions,2010,heckprob,1
internationalinteractions,2010,logit,1
internationalinteractions,2010,nbreg,1
internationalinteractions,2010,probit,1
internationalinteractions,2010,regress,2
internationalinteractions,2010,stcox,1
internationalinteractions,2010,xtreg,1
internationalinteractions,2011,estsimp,1
internationalinteractions,2011,logit,1
internationalinteractions,2011,mlogit,1
internationalinteractions,2011,probit,2
internationalinteractions,2011,regress,1
internationalinteractions,2011,stcox,2
internationalinteractions,2011,streg,1
internationalinteractions,2011,xtpcse,2
internationalinteractions,2012,biprobit,1
internationalinteractions,2012,btscs,2
internationalinteractions,2012,estsimp,3
internationalinteractions,2012,ivreg2,1
internationalinteractions,2012,logit,2
internationalinteractions,2012,nbreg,2
internationalinteractions,2012,ologit,1
internationalinteractions,2012,oprobit,2
internationalinteractions,2012,outreg,2
internationalinteractions,2012,probit,4
internationalinteractions,2012,regress,3
internationalinteractions,2012,stcox,2
internationalinteractions,2012,streg,2
internationalinteractions,2012,xtlogit,1
internationalinteractions,2012,xtmixed,1
internationalinteractions,2012,xtpcse,1
internationalinteractions,2012,xtreg,1
internationalinteractions,2013,arima,1
internationalinteractions,2013,biprobit,2
internationalinteractions,2013,btscs,1
internationalinteractions,2013,estsimp,3
internationalinteractions,2013,impute,1
internationalinteractions,2013,ivreg2,1
internationalinteractions,2013,logit,6
internationalinteractions,2013,nbreg,4
internationalinteractions,2013,newey,1
internationalinteractions,2013,oprobit,1
internationalinteractions,2013,probit,4
internationalinteractions,2013,regress,6
internationalinteractions,2013,relogit,2
internationalinteractions,2013,stcox,1
internationalinteractions,2013,streg,1
internationalinteractions,2013,var,1
internationalinteractions,2013,vargranger,1
internationalinteractions,2013,varsoc,1
internationalinteractions,2013,xtnbreg,2
internationalinteractions,2013,xtpcse,2
internationalinteractions,2013,xtreg,6
internationalinteractions,2013,zinb,3
internationalinteractions,2014,heckprob,2
internationalinteractions,2014,logit,4
internationalinteractions,2014,ologit,1
internationalinteractions,2014,probit,1
internationalinteractions,2014,regress,1
internationalinteractions,2014,relogit,2
internationalinteractions,2014,xtgee,1
internationalinteractions,2014,xtnbreg,1
internationalinteractions,2014,xtreg,1
internationalinteractions,2014,zinb,1
internationalinteractions,2015,biprobit,3
