file,#,# reg
ajps/NMJ4W9/02_Main_tables.do,339,130
ajps/26721/reinterviews12_do.do,45,4
ajps/26721/1960p_do.do,34,4
ajps/26721/2004p_do.do,48,4
ajps/26721/socialization_do.do,49,4
ajps/26721/ccap12_do.do,48,4
ajps/CQXHTH/AJPS replication tables and figures.do,699,43
ajps/UPSRNO/replication-code_public.do,167,2
ajps/GTXZ4J/when_are_agenda_setters_valuable.do,520,24
ajps/R3GZZW/payment_to_both_replication.do,5,0
ajps/25582/Bechtel Hainmueller 2012 AJPS Elbe Repdata/replication_code.do,11,3
ajps/18366/McKibben_AJPS Bargaining Strategies dofile.do,234,0
ajps/22124/Replication files/Replication files/AJPS_Replication.do,145,5
ajps/23454/replication/replication/cross_section_replication/Table1_replication.do,89,0
ajps/23454/replication/replication/cross_section_replication/auxiliary.do,26,0
ajps/23454/replication/replication/cross_section_replication/TableB1_replication.do,89,0
ajps/23454/replication/replication/cross_section_replication/estimator_part2.do,123,0
ajps/23454/replication/replication/cross_section_replication/Table3_replication.do,89,0
ajps/23454/replication/replication/cross_section_replication/Table2_replication.do,90,0
ajps/23454/replication/replication/cross_section_replication/TableB2_replication.do,84,0
ajps/23454/replication/replication/panel replication/Tables4-6.do,82,6
ajps/FZI6NO/01_Figure3_UnionCommunication.do,42,0
ajps/FZI6NO/03_AllTables.do,89,0
ajps/FZI6NO/01_Figure1_MembersNonMembers.do,51,0
ajps/FZI6NO/01_Figure2_DiscussedIssue.do,54,0
ajps/FZI6NO/01_Figure4_Alignment.do,47,0
ajps/FZI6NO/01_Figure5_AutoPrePost.do,23,0
ajps/YWZBUJ/China_DemilitarizationAgreement.do,238,15
ajps/YWZBUJ/mattesweeksAJPS.do,505,32
ajps/YWZBUJ/Russia_TroopWithdrawal.do,235,15
ajps/YWZBUJ/Russia_Sanctions.do,212,11
ajps/XRJ43D/RR-AJPS-analyzeYouGov.do,71,0
ajps/XKC4R4/econ-vote-analysis-replication-stata.do,119,0
ajps/J2FA5R/lasso.do,42,1
ajps/J2FA5R/export_IVLasso.do,40,0
ajps/27293/Emotional_Substrates_Replication_Syntax_Figure_2.do,40,1
ajps/27293/Emotional_Substrates_Replication_Syntax_Figure_1.do,40,1
ajps/27293/Emotional_Substrates_Replication_Syntax.do,9,4
ajps/24789/AJPSReplication.do,79,6
ajps/22140/dj_mendelbergkarpowitzgoedert_tablecode.do,170,44
ajps/29080/Giger_Kluever_Replication_SI.do,112,0
ajps/29080/Giger_Kluever_Replication.do,135,0
ajps/17042/replication_analysis.do,762,74
ajps/17042/replication_dataprep.do,570,2
ajps/4LZXTY/mainresults_.do,117,17
ajps/4LZXTY/on_line_appendix_.do,61,16
ajps/27217/replication_dofile_AJPS_BroadAppeal.do,88,23
ajps/ROLEY5/AJPS_MPLADS_ConstructDataset.do,839,0
ajps/ROLEY5/AJPS_TablesFiguresFinal.do,498,6
ajps/BLXMCY/generating casualty data v2.do,87,0
ajps/BLXMCY/cross national do files.do,23,2
ajps/BLXMCY/generating CCESS06081012finaldata.do,181,0
ajps/BLXMCY/merging files06081012final.do,87,0
ajps/24937/replication_main.do,280,4
ajps/24937/replication_cs.do,91,2
